质量_A,,,
t,x,y,rad
23.12,-13.72451759,-35.35524342,0.370331235
23.16,-17.87060675,-33.81830561,0.486195104
23.2,-20.08446246,-33.15149554,0.54477231
23.24,-22.53001699,-31.79164058,0.616605949
23.28,-23.7268733,-31.10323742,0.651754307
23.32,-24.40180254,-30.7386142,0.671065752
23.36,-24.14856557,-30.94704541,0.662710475
23.4,-23.03194206,-31.77977609,0.627216324
23.44,-21.01391724,-32.96263281,0.567616365
23.48,-18.2145736,-34.33800767,0.487772554
23.52,-14.23228357,-35.85422461,0.377922075
23.56,-9.740936535,-37.12948285,0.256601683
23.6,-3.641158983,-38.06002281,0.095390948
23.64,1.696837114,-38.21424771,-0.044379864
23.68,5.84831363,-37.55013044,-0.154525556
23.72,11.60908637,-36.3726427,-0.308990668
23.76,15.50742491,-34.68458899,-0.420492866
23.8,18.98214249,-32.82293561,-0.524393351
23.84,20.33651265,-31.10602501,-0.579103356
23.88,22.62262997,-29.43334945,-0.655387557
23.92,24.31970613,-28.23360839,-0.711152708
23.96,24.82617209,-27.80573193,-0.728941741
24,23.97979846,-27.29770805,-0.720876725
24.04,22.96512155,-28.2304144,-0.683000328
24.08,20.8450853,-29.58531702,-0.613869663
24.12,17.79586138,-31.2942814,-0.517124927
24.16,14.91306943,-33.82233701,-0.415334321
24.2,9.404816444,-35.43510964,-0.259462005
24.24,3.816372967,-36.62037926,-0.103853082
24.28,-1.26679311,-37.04608724,0.034186172
24.32,-6.014615557,-37.04054105,0.160995139
24.36,-10.41923326,-36.35974793,0.279117148
24.4,-14.9989454,-34.84696369,0.406507958
24.44,-18.3924973,-33.49476707,0.502229025
24.48,-21.52079145,-31.79648247,0.595082472
24.52,-23.46929593,-30.6058385,0.654266721
24.56,-22.96186093,-31.10735462,0.635955637
24.6,-23.21671952,-30.94526364,0.643745282
24.64,-22.45939538,-31.45492068,0.620152927
24.68,-21.08921231,-32.29843891,0.578520084
24.72,-20.58827204,-32.64525422,0.562736769
24.76,-17.36587644,-34.32306434,0.468459836
24.8,-12.96002679,-36.01509657,0.345467432
24.84,-8.386452085,-37.03731096,0.2227064
24.88,-2.455135263,-37.89064115,0.064713233
24.92,2.459972281,-37.73321427,-0.06511013
24.96,9.2374866,-36.87761781,-0.24547192
25,13.47484783,-35.50141076,-0.362807844
25.04,14.74404006,-34.3064509,-0.405960418
25.08,16.44615513,-31.95914114,-0.475320428
25.12,20.59129911,-29.75510219,-0.605432587
25.16,21.94604937,-28.73436764,-0.652331629
25.2,22.70874988,-28.05942722,-0.680479726
25.24,22.70865533,-28.05257708,-0.680597106
